Time,27Al,45Sc,55Mn,56Fe,65Cu,115In,159Tb,220Bkg,238U
,Bennery raw    3/16/2021 1:11:26 PM    (Run: 1),,,,,,,,
0,28420.000,51460.000,946.000,6250.000,300.000,663500.000,780200.000,0.000,16.000
4045,28060.000,60900.000,1046.000,6104.000,280.000,484100.000,642100.000,0.000,4.000
8090,27900.000,56510.000,1044.000,6152.000,290.000,462800.000,605000.000,0.000,12.000
12135,28490.000,53230.000,1038.000,6322.000,308.000,440300.000,576600.000,0.000,18.000
16181,29530.000,52450.000,1050.000,6178.000,296.000,432300.000,569400.000,0.000,14.000
20226,29850.000,51330.000,1048.000,5964.000,316.000,423100.000,550800.000,0.000,10.000
24271,29220.000,51480.000,996.100,6080.000,312.000,419000.000,540000.000,0.000,18.000
28317,29710.000,49930.000,948.000,5986.000,302.000,421000.000,540400.000,0.000,18.000
32362,29530.000,50920.000,988.100,6100.000,264.000,409600.000,543600.000,0.000,18.000
36407,29960.000,50630.000,998.100,6134.000,266.000,410500.000,537100.000,0.000,12.000
40453,30020.000,50330.000,966.100,6086.000,264.000,410900.000,529300.000,0.000,6.000
44498,29760.000,50810.000,966.100,5998.000,242.000,410500.000,533800.000,0.000,22.000
48543,29520.000,49530.000,952.000,6300.000,286.000,408000.000,527400.000,0.000,18.000
52588,29950.000,49520.000,844.000,6114.000,288.000,405900.000,530300.000,0.000,18.000
56634,29710.000,50150.000,962.100,6092.000,254.000,411900.000,536300.000,0.000,6.000
60679,30100.000,51490.000,936.000,6062.000,256.000,411900.000,528000.000,0.000,10.000
64724,29520.000,50670.000,914.000,6096.000,248.000,411100.000,530700.000,0.000,4.000
68770,29700.000,50610.000,924.000,6088.000,260.000,418200.000,533700.000,0.000,10.000
72815,29240.000,51220.000,906.000,6290.000,284.000,401900.000,540900.000,0.000,8.000
76860,29980.000,50150.000,966.100,6054.000,286.000,411900.000,535600.000,0.000,8.000
80906,29350.000,49960.000,910.000,6046.000,324.000,405100.000,522600.000,0.000,16.000
84951,29570.000,50470.000,964.100,5864.000,276.000,407900.000,527900.000,0.000,6.000
88996,29480.000,49710.000,1008.000,5798.000,348.000,408500.000,530500.000,0.000,16.000
93041,29930.000,50300.000,944.000,5842.000,244.000,397700.000,524300.000,0.000,6.000
97087,29770.000,49720.000,940.000,5852.000,290.000,406100.000,526600.000,0.000,2.000
101132,29270.000,49420.000,896.000,6120.000,280.000,404400.000,525200.000,0.000,18.000
105177,29360.000,49790.000,994.100,6152.000,240.000,409800.000,530500.000,0.000,12.000
109223,29300.000,49560.000,878.000,5926.000,256.000,409000.000,528300.000,0.000,10.000
113268,29880.000,50330.000,904.000,5694.000,264.000,403700.000,526500.000,0.000,8.000
117313,29730.000,50900.000,958.100,5836.000,250.000,409800.000,537100.000,0.000,12.000
121359,29780.000,49360.000,928.000,6024.000,284.000,408500.000,530200.000,0.000,8.000
125404,29670.000,50830.000,970.100,5910.000,306.000,411700.000,532600.000,0.000,2.000
129449,29430.000,50120.000,922.000,5988.000,274.000,411500.000,534500.000,0.000,20.000
133494,28890.000,49090.000,958.100,5704.000,248.000,405300.000,532000.000,0.000,14.000
137540,30150.000,50280.000,870.000,5762.000,294.000,402200.000,536900.000,0.000,10.000
141585,29560.000,49230.000,906.000,5890.000,282.000,405700.000,514200.000,0.000,24.000
145630,29800.000,49070.000,978.100,5996.000,218.000,409800.000,535400.000,0.000,12.000
149676,29040.000,49920.000,880.000,5972.000,286.000,408200.000,526600.000,0.000,12.000
153721,29770.000,49730.000,942.000,6122.000,266.000,402100.000,527800.000,0.000,18.000
157766,29890.000,49850.000,972.100,5880.000,302.000,408300.000,531800.000,0.000,10.000
161812,29660.000,49540.000,918.000,6070.000,242.000,407800.000,525700.000,0.000,12.000
165857,28800.000,49070.000,950.000,5852.000,238.000,410900.000,540900.000,0.000,10.000
169902,29690.000,48870.000,968.100,6080.000,238.000,410500.000,537800.000,0.000,8.000
173947,29370.000,50730.000,908.000,5790.000,206.000,404000.000,531200.000,0.000,14.000
177993,29070.000,49590.000,904.000,5852.000,254.000,409800.000,530000.000,0.000,10.000
182038,29700.000,50410.000,850.000,6104.000,220.000,411300.000,528600.000,0.000,18.000
186083,28990.000,50170.000,938.000,6090.000,252.000,403100.000,533300.000,0.000,24.000
190129,29690.000,49400.000,950.000,5908.000,246.000,407700.000,526700.000,0.000,14.000
194174,29970.000,50560.000,914.000,5890.000,232.000,400400.000,522000.000,0.000,16.000
198219,29270.000,49780.000,908.000,6052.000,286.000,408300.000,532900.000,0.000,22.000
202265,29170.000,48730.000,878.000,5878.000,248.000,408300.000,528000.000,0.000,14.000
206310,28490.000,49770.000,860.000,6010.000,256.000,406400.000,522100.000,0.000,12.000
210355,29180.000,49150.000,968.100,5818.000,266.000,409700.000,536900.000,0.000,16.000
214400,29380.000,50520.000,916.000,5838.000,272.000,405500.000,532500.000,0.000,12.000
218446,29350.000,49130.000,968.100,6070.000,250.000,405200.000,523700.000,0.000,2.000
222491,29030.000,49730.000,912.000,5810.000,256.000,407300.000,530000.000,0.000,10.000
226536,29360.000,49650.000,884.000,6018.000,262.000,403300.000,524800.000,0.000,18.000
230582,29510.000,50120.000,856.000,5758.000,310.000,407800.000,525500.000,0.000,6.000
234627,28920.000,49380.000,992.100,5988.000,284.000,403200.000,524500.000,0.000,14.000
238672,29730.000,50010.000,898.000,6006.000,246.000,404700.000,524900.000,0.000,16.000
242718,29360.000,49350.000,948.000,5776.000,264.000,404600.000,516700.000,0.000,4.000
246763,29660.000,48760.000,996.100,5872.000,296.000,407200.000,529200.000,0.000,6.000
250808,29100.000,49610.000,920.000,5786.000,258.000,404100.000,534500.000,0.000,28.000
254853,29450.000,49950.000,1008.000,5884.000,220.000,402400.000,530000.000,0.000,6.000
258899,29440.000,49450.000,882.000,5814.000,280.000,409500.000,532800.000,0.000,18.000
262944,29410.000,48760.000,984.100,5782.000,300.000,414600.000,523400.000,0.000,20.000
266989,28950.000,49070.000,858.000,5926.000,290.000,408400.000,533700.000,0.000,16.000
271035,29280.000,48510.000,1014.000,5810.000,220.000,405600.000,529300.000,0.000,4.000
275080,28980.000,49590.000,938.000,5848.000,242.000,402400.000,533300.000,0.000,20.000
279125,29360.000,49600.000,926.000,5696.000,210.000,407000.000,526600.000,0.000,6.000
283171,29120.000,49540.000,928.000,5706.000,262.000,406400.000,522900.000,0.000,16.000
287216,29020.000,48640.000,946.000,5794.000,300.000,397500.000,519800.000,0.000,10.000
291261,29210.000,49440.000,942.000,5968.000,232.000,405900.000,526100.000,0.000,8.000
295306,29550.000,49840.000,902.000,5894.000,294.000,403200.000,529100.000,0.000,20.000
299352,29200.000,50330.000,906.000,5946.000,222.000,407500.000,530700.000,0.000,12.000
303397,30090.000,49080.000,916.000,6148.000,298.000,406100.000,532400.000,0.000,10.000
307442,28780.000,49220.000,958.100,5894.000,262.000,406300.000,533100.000,0.000,16.000
311488,29360.000,48670.000,880.000,5852.000,260.000,404200.000,530100.000,0.000,12.000
315533,28750.000,48880.000,888.000,5762.000,228.000,401000.000,526200.000,0.000,4.000
319578,29480.000,49560.000,838.000,5824.000,218.000,405300.000,526700.000,0.000,14.000
323624,29350.000,49050.000,1008.000,5826.000,226.000,404300.000,521000.000,0.000,10.000
327669,28860.000,49480.000,832.000,5684.000,272.000,401500.000,531600.000,0.000,8.000
331714,28950.000,48980.000,986.100,5882.000,230.000,407100.000,529500.000,0.000,16.000
335759,29850.000,50090.000,832.000,5902.000,264.000,402500.000,521400.000,0.000,16.000
339805,29150.000,48940.000,918.000,5776.000,272.000,396800.000,514800.000,0.000,14.000
343850,29290.000,49270.000,904.000,5892.000,266.000,404800.000,532200.000,0.000,6.000
347895,29230.000,48380.000,882.000,5830.000,254.000,401600.000,527000.000,0.000,26.000
351941,29150.000,47840.000,846.000,5862.000,290.000,405800.000,526300.000,0.000,8.000
355986,29430.000,48880.000,912.000,5886.000,240.000,399700.000,526800.000,0.000,12.000
360031,29150.000,48350.000,894.000,5680.000,266.000,401500.000,527800.000,0.000,10.000
364077,28650.000,47470.000,910.000,5620.000,238.000,396900.000,530300.000,0.000,12.000
368122,28790.000,49800.000,780.000,5790.000,260.000,402900.000,528300.000,0.000,12.000
372167,29480.000,49370.000,896.000,5750.000,228.000,405200.000,521300.000,0.000,14.000
376212,29250.000,49490.000,840.000,5688.000,278.000,401300.000,530700.000,0.000,20.000
380258,28360.000,48300.000,960.100,5910.000,234.000,403900.000,528900.000,0.000,12.000
384303,29040.000,48560.000,906.000,5908.000,264.000,392300.000,515600.000,0.000,16.000
388348,29150.000,48460.000,856.000,5844.000,250.000,393500.000,524800.000,0.000,10.000
392394,28730.000,47440.000,942.000,5572.000,296.000,400100.000,526600.000,0.000,10.000
396439,28430.000,47180.000,860.000,5856.000,306.000,395600.000,515800.000,0.000,4.000
400484,29350.000,49010.000,864.000,5650.000,236.000,399000.000,523800.000,0.000,10.000
404530,29120.000,48130.000,868.000,5632.000,296.000,402000.000,521700.000,0.000,16.000
408575,29690.000,49250.000,968.100,5772.000,300.000,405100.000,526700.000,0.000,14.000
412620,28790.000,49170.000,832.000,5688.000,270.000,403900.000,522400.000,0.000,16.000
416665,28470.000,49910.000,880.000,5944.000,238.000,399200.000,524500.000,0.000,12.000
420711,28240.000,50170.000,820.000,5844.000,210.000,410000.000,526100.000,0.000,16.000
424756,28570.000,48430.000,890.000,5722.000,252.000,398700.000,525200.000,0.000,8.000
428801,29180.000,49790.000,912.000,5752.000,232.000,400500.000,531900.000,0.000,8.000
432847,28690.000,48880.000,924.000,5722.000,304.000,400500.000,529300.000,0.000,22.000
436892,28350.000,49510.000,954.100,5662.000,302.000,400700.000,524100.000,0.000,12.000
440937,28880.000,49290.000,846.000,5762.000,248.000,403500.000,526800.000,0.000,10.000
444983,28600.000,48400.000,948.000,5684.000,216.000,403600.000,520700.000,0.000,4.000
449028,28430.000,49790.000,874.000,5564.000,224.000,397900.000,531700.000,0.000,18.000
453073,27950.000,48350.000,814.000,5698.000,284.000,402600.000,533500.000,0.000,12.000
457118,28850.000,49240.000,868.000,5786.000,258.000,401100.000,511000.000,0.000,8.000
461164,28280.000,48790.000,842.000,5766.000,256.000,403600.000,515200.000,0.000,8.000
465209,28770.000,48220.000,824.000,5648.000,252.000,398000.000,516300.000,0.000,10.000
469254,28460.000,47760.000,876.000,5658.000,244.000,393600.000,527400.000,0.000,14.000
473300,28550.000,48080.000,820.000,5906.000,314.000,400200.000,525300.000,0.000,8.000
477345,28830.000,48370.000,826.000,5704.000,218.000,394700.000,522700.000,0.000,12.000
481390,28480.000,48340.000,890.000,5740.000,238.000,401700.000,521400.000,0.000,16.000
485436,29090.000,48970.000,908.000,5610.000,286.000,401400.000,521400.000,0.000,12.000
489481,28430.000,48450.000,922.000,5968.000,214.000,395600.000,521700.000,0.000,10.000
493526,28040.000,48280.000,968.100,5688.000,222.000,397800.000,525100.000,0.000,14.000
497571,28120.000,48760.000,942.000,5636.000,214.000,392600.000,519700.000,0.000,8.000
501617,28860.000,48790.000,754.000,5778.000,246.000,399800.000,522000.000,0.000,14.000
505662,28490.000,47600.000,914.000,5822.000,278.000,399200.000,523800.000,0.000,8.000
509707,28370.000,48000.000,898.000,5624.000,302.000,392300.000,528700.000,0.000,12.000
513753,28870.000,48480.000,886.000,5752.000,234.000,395500.000,523800.000,0.000,4.000
517798,28700.000,48560.000,792.000,5530.000,264.000,394300.000,520500.000,0.000,22.000
521843,28640.000,48270.000,910.000,5854.000,228.000,399800.000,525900.000,0.000,12.000
525889,27800.000,48900.000,826.000,5526.000,278.000,400700.000,521300.000,0.000,12.000
529934,28340.000,48220.000,850.000,5702.000,218.000,385900.000,509400.000,0.000,14.000
533979,28760.000,47270.000,896.000,5712.000,262.000,392000.000,516600.000,0.000,16.000
538024,28870.000,48080.000,836.000,5810.000,226.000,391200.000,512500.000,0.000,10.000
542070,28550.000,48420.000,860.000,5650.000,244.000,402000.000,521800.000,0.000,14.000
546115,28300.000,47700.000,844.000,5582.000,266.000,398200.000,516800.000,0.000,14.000
550160,28290.000,48630.000,822.000,5660.000,262.000,390900.000,521400.000,0.000,4.000
554206,28690.000,48930.000,920.000,5470.000,190.000,401600.000,521900.000,0.000,8.000
558251,28660.000,48710.000,908.000,5716.000,258.000,396100.000,521900.000,0.000,10.000
562296,28110.000,48390.000,862.000,5822.000,218.000,401500.000,524300.000,0.000,10.000
566342,28640.000,48690.000,854.000,5778.000,264.000,397300.000,519400.000,0.000,2.000
570387,28420.000,47880.000,782.000,5672.000,228.000,396100.000,520400.000,0.000,16.000
574432,28180.000,48210.000,858.000,5566.000,286.000,399100.000,507700.000,0.000,12.000
578477,28690.000,47300.000,842.000,5666.000,254.000,389800.000,514100.000,0.000,16.000
582523,28120.000,47890.000,936.000,5454.000,212.000,394500.000,518200.000,0.000,26.000
586568,27660.000,47800.000,864.000,5830.000,238.000,398300.000,523900.000,0.000,10.000
590613,27960.000,47130.000,824.000,5476.000,254.000,391700.000,518000.000,0.000,10.000
594659,28040.000,48900.000,844.000,5624.000,256.000,399800.000,519800.000,0.000,10.000
598704,27930.000,48370.000,828.000,5702.000,270.000,395700.000,513400.000,0.000,12.000
602749,27960.000,48000.000,924.000,5944.000,234.000,397800.000,526600.000,0.000,10.000
606795,27750.000,47550.000,868.000,5468.000,244.000,395200.000,523000.000,0.000,12.000
610840,28460.000,49100.000,790.000,5756.000,296.000,393900.000,528300.000,0.000,24.000
614885,28360.000,47780.000,880.000,5456.000,216.000,395500.000,523900.000,0.000,18.000
618930,28140.000,48380.000,866.000,5500.000,220.000,390600.000,516200.000,0.000,14.000
622976,28060.000,48240.000,878.000,5664.000,254.000,392300.000,514200.000,0.000,12.000
627021,27880.000,47280.000,794.000,5718.000,282.000,389000.000,509500.000,0.000,10.000
631066,28400.000,47960.000,876.000,5692.000,258.000,385000.000,521800.000,0.000,10.000
635112,28280.000,47450.000,846.000,5706.000,250.000,393600.000,516000.000,0.000,8.000
639157,27450.000,47200.000,858.000,5566.000,246.000,385800.000,523600.000,0.000,14.000
643202,28010.000,46910.000,858.000,5640.000,230.000,398500.000,524900.000,0.000,10.000
647248,28350.000,48060.000,902.000,5724.000,222.000,400600.000,521100.000,0.000,10.000
651293,28170.000,49190.000,852.000,5616.000,254.000,401600.000,529000.000,0.000,16.000
655338,27530.000,49440.000,810.000,5552.000,296.000,400900.000,529400.000,0.000,12.000
659383,27610.000,47590.000,938.000,5610.000,274.000,399600.000,526000.000,0.000,4.000
663429,28210.000,48380.000,834.000,5716.000,258.000,402800.000,530500.000,0.000,6.000
667474,27990.000,48020.000,872.000,5458.000,264.000,403900.000,527800.000,0.000,6.000
671519,28660.000,48580.000,916.000,5688.000,214.000,399400.000,527600.000,0.000,10.000
675565,27710.000,48180.000,902.000,5786.000,268.000,400400.000,529800.000,0.000,14.000
679610,28520.000,47810.000,840.000,6224.000,348.000,398500.000,524200.000,0.000,14.000
683655,28800.000,47780.000,918.000,6600.000,514.000,398900.000,529700.000,0.000,14.000
687701,29470.000,48380.000,944.000,6747.000,800.000,401200.000,520200.000,0.000,14.000
691746,29660.000,47850.000,880.000,7041.000,830.000,394400.000,532800.000,0.000,10.000
695791,28980.000,47680.000,944.000,7357.000,950.000,401800.000,525500.000,0.000,4.000
699836,29580.000,48200.000,1028.000,7119.000,790.000,397400.000,524900.000,0.000,20.000
703882,29420.000,48050.000,946.000,7299.000,826.000,398400.000,526100.000,0.000,10.000
707927,29250.000,47840.000,1002.000,7439.000,740.000,396900.000,523800.000,0.000,16.000
711972,29180.000,47780.000,1002.000,7689.000,658.000,393800.000,527000.000,0.000,14.000
716018,28810.000,49020.000,1000.000,7897.000,688.000,398700.000,524900.000,0.000,16.000
720063,28740.000,48170.000,988.100,7887.000,710.000,399000.000,526200.000,0.000,22.000
724108,28630.000,47550.000,966.100,8596.000,624.000,397900.000,530300.000,0.000,28.000
728154,29210.000,48020.000,1020.000,8914.000,672.000,401300.000,531200.000,0.000,14.000
732199,29400.000,48800.000,1038.000,9455.000,612.000,400400.000,532000.000,0.000,22.000
736244,28990.000,48280.000,976.100,10460.000,646.000,401400.000,532100.000,0.000,14.000
740289,29390.000,48180.000,1004.000,11110.000,686.000,403100.000,529200.000,0.000,18.000
744335,29220.000,47760.000,944.000,12400.000,662.000,404700.000,538000.000,0.000,30.000
748380,29710.000,49130.000,904.000,13790.000,658.000,404100.000,534000.000,0.000,26.000
752425,30200.000,49140.000,936.000,15670.000,734.000,404900.000,532300.000,0.000,40.000
756471,30310.000,48900.000,974.100,17620.000,800.000,404600.000,539300.000,0.000,40.000
760516,30420.000,48390.000,888.000,19740.000,964.100,401700.000,527500.000,0.000,56.000
764561,30260.000,48310.000,924.000,22460.000,1070.000,399900.000,532400.000,0.000,72.000
768607,31060.000,48510.000,1008.000,25540.000,1070.000,402000.000,531500.000,0.000,60.000
772652,31310.000,48650.000,828.000,29230.000,1150.000,401400.000,539900.000,0.000,76.000
776697,32050.000,48530.000,944.000,33340.000,1318.000,401800.000,532100.000,0.000,76.000
780742,32100.000,48530.000,960.100,37320.000,1356.000,398000.000,526600.000,0.000,72.000
784788,32990.000,48650.000,952.000,42180.000,1626.000,403600.000,532400.000,0.000,82.000
788833,33730.000,47880.000,924.000,47240.000,1504.000,394500.000,526300.000,0.000,98.000
792878,34520.000,48660.000,926.000,52430.000,1706.000,397900.000,536200.000,0.000,112.000
796924,35100.000,47240.000,988.100,57360.000,1822.000,397500.000,527900.000,0.000,108.000
800969,35250.000,47750.000,978.100,62520.000,1860.000,393700.000,528300.000,0.000,84.000
805014,35750.000,48100.000,1018.000,66570.000,2062.000,403100.000,534000.000,0.000,140.000
809060,35970.000,48350.000,946.000,71480.000,2070.000,397700.000,529600.000,0.000,132.000
813105,36770.000,48260.000,878.000,74580.000,2024.000,395100.000,534900.000,0.000,116.000
817150,36650.000,49150.000,962.100,76590.000,2254.000,398400.000,528500.000,0.000,128.000
821195,37490.000,48070.000,1014.000,82840.000,2380.000,401100.000,532200.000,0.000,146.000
825241,36530.000,48300.000,968.100,83120.000,2334.000,398600.000,530000.000,0.000,124.000
829286,37170.000,48910.000,890.000,84240.000,2266.000,407600.000,542500.000,0.000,144.000
833331,36860.000,48760.000,968.100,82930.000,2424.000,399100.000,531800.000,0.000,138.000
837377,37110.000,48560.000,914.000,82980.000,2404.000,403300.000,526200.000,0.000,114.000
841422,37400.000,47370.000,962.100,80900.000,2208.000,395800.000,527200.000,0.000,116.000
845467,36400.000,49350.000,1012.000,80960.000,2116.000,400600.000,530500.000,0.000,84.000
849513,36560.000,48190.000,886.000,77040.000,2164.000,397200.000,527400.000,0.000,106.000
853558,36440.000,47740.000,958.100,74590.000,2058.000,399500.000,527600.000,0.000,82.000
857603,36160.000,47560.000,944.000,72300.000,2022.000,398300.000,527900.000,0.000,86.000
861648,35290.000,48260.000,980.100,69120.000,1972.000,393800.000,522500.000,0.000,114.000
865694,35050.000,48920.000,826.000,65610.000,1840.000,403800.000,533200.000,0.000,62.000
869739,34730.000,47450.000,846.000,62640.000,1762.000,392100.000,524500.000,0.000,100.000
873784,34480.000,47340.000,912.000,59820.000,1632.000,389000.000,528800.000,0.000,68.000
877830,34520.000,48390.000,882.000,57230.000,1490.000,395700.000,527300.000,0.000,62.000
881875,33350.000,47480.000,874.000,52870.000,1378.000,391900.000,523600.000,0.000,40.000
885920,33440.000,47890.000,916.000,49880.000,1298.000,395400.000,524900.000,0.000,66.000
889966,32880.000,47000.000,868.000,46750.000,1322.000,395900.000,533200.000,0.000,62.000
894011,32260.000,47840.000,830.000,43830.000,1234.000,394800.000,529800.000,0.000,38.000
898056,32390.000,47420.000,916.000,41840.000,1188.000,395900.000,533400.000,0.000,56.000
902101,32520.000,47470.000,900.000,39340.000,1178.000,393200.000,518200.000,0.000,46.000
906147,31510.000,48030.000,872.000,36800.000,1096.000,396100.000,526300.000,0.000,34.000
910192,31070.000,46640.000,866.000,35100.000,948.000,401000.000,526700.000,0.000,56.000
914237,31060.000,48320.000,868.000,33360.000,916.000,397000.000,532700.000,0.000,42.000
918283,31030.000,48510.000,868.000,32110.000,930.000,398200.000,524500.000,0.000,36.000
922328,30870.000,47460.000,830.000,29550.000,912.000,399600.000,530400.000,0.000,20.000
926373,30310.000,47600.000,940.000,29530.000,922.000,395700.000,533600.000,0.000,22.000
930419,30300.000,47750.000,934.000,28140.000,836.000,396300.000,528400.000,0.000,28.000
934464,29870.000,48560.000,892.000,26630.000,756.000,398400.000,526600.000,0.000,40.000
938509,29530.000,47490.000,906.000,25780.000,712.000,396400.000,523400.000,0.000,36.000
942554,29720.000,47390.000,890.000,24810.000,648.000,404000.000,528400.000,0.000,32.000
946600,29140.000,48000.000,838.000,24200.000,712.000,394300.000,534700.000,0.000,22.000
950645,29950.000,47900.000,994.100,23620.000,638.000,399800.000,533900.000,0.000,28.000
954690,29360.000,47480.000,956.100,22890.000,606.000,393800.000,523300.000,0.000,28.000
958736,29060.000,48020.000,864.000,21890.000,634.000,398000.000,529000.000,0.000,26.000
962781,29670.000,47530.000,808.000,21590.000,600.000,393500.000,521000.000,0.000,18.000
966826,28970.000,46920.000,918.000,20890.000,564.000,396200.000,528500.000,0.000,20.000
970872,28930.000,48400.000,888.000,20960.000,572.000,398400.000,532300.000,0.000,38.000
974917,28740.000,47750.000,986.100,20480.000,580.000,400600.000,534300.000,0.000,18.000
978962,29080.000,47110.000,868.000,19850.000,524.000,400000.000,540300.000,0.000,30.000
983007,28110.000,47730.000,942.000,19620.000,528.000,398800.000,525300.000,0.000,10.000
987053,28530.000,48450.000,898.000,19360.000,572.000,395400.000,532200.000,0.000,8.000
991098,28880.000,47770.000,864.000,19190.000,552.000,405300.000,533700.000,0.000,22.000
995143,28570.000,48480.000,870.000,19260.000,528.000,398900.000,529900.000,0.000,22.000
999189,29300.000,48060.000,844.000,19200.000,482.000,398400.000,539500.000,0.000,18.000
1003234,28760.000,46200.000,872.000,19410.000,496.000,398800.000,534200.000,0.000,22.000
1007279,28830.000,47330.000,884.000,19540.000,526.000,395600.000,528800.000,0.000,26.000
1011325,29160.000,48850.000,850.000,20090.000,474.000,399400.000,535900.000,0.000,8.000
1015370,29080.000,48000.000,862.000,20430.000,432.000,394100.000,526800.000,0.000,10.000
1019415,28790.000,49140.000,786.000,20540.000,512.000,400900.000,538700.000,0.000,22.000
1023460,29140.000,47480.000,842.000,20740.000,458.000,402800.000,533900.000,0.000,20.000
1027506,29060.000,47260.000,944.000,21320.000,490.000,395800.000,533900.000,0.000,20.000
1031551,29140.000,47040.000,950.000,21710.000,482.000,399200.000,533800.000,0.000,26.000
1035596,29490.000,47350.000,956.100,21690.000,410.000,398600.000,523500.000,0.000,26.000
1039642,29350.000,48660.000,856.000,23240.000,426.000,398400.000,528100.000,0.000,28.000
1043687,29260.000,46720.000,876.000,22700.000,520.000,403700.000,536900.000,0.000,18.000
1047732,29740.000,48030.000,982.100,23890.000,434.000,394000.000,535300.000,0.000,14.000
1051778,29260.000,47050.000,986.100,25160.000,490.000,397700.000,532600.000,0.000,28.000
1055823,29380.000,47620.000,986.100,25640.000,510.000,401600.000,521100.000,0.000,14.000
1059868,29170.000,47430.000,884.000,26480.000,468.000,400000.000,536400.000,0.000,18.000
1063913,29370.000,46470.000,964.100,28240.000,482.000,400300.000,532600.000,0.000,14.000
1067959,29090.000,47720.000,796.000,28780.000,536.000,400700.000,536200.000,0.000,28.000
1072004,29600.000,47720.000,950.000,30480.000,460.000,398800.000,538500.000,0.000,10.000
1076049,29230.000,47770.000,996.100,32190.000,576.000,398700.000,532100.000,0.000,40.000
1080095,29960.000,48210.000,978.100,33580.000,468.000,397700.000,536800.000,0.000,18.000
1084140,28720.000,49190.000,1034.000,36430.000,484.000,396200.000,529000.000,0.000,16.000
1088185,29380.000,48100.000,1020.000,39850.000,526.000,387400.000,530500.000,0.000,24.000
1092231,29520.000,46540.000,1012.000,42620.000,530.000,396500.000,527200.000,0.000,6.000
1096276,29720.000,47360.000,1106.000,46790.000,572.000,389400.000,520600.000,0.000,22.000
1100321,29370.000,47730.000,1090.000,51400.000,532.000,393600.000,529200.000,0.000,16.000
1104366,29410.000,46880.000,1120.000,56240.000,560.000,398300.000,523100.000,0.000,18.000
1108412,30230.000,48000.000,1308.000,63270.000,574.000,391500.000,527400.000,0.000,18.000
1112457,29900.000,47470.000,1208.000,66800.000,590.000,394500.000,525400.000,0.000,30.000
1116502,29330.000,48370.000,1220.000,72460.000,702.000,392600.000,527400.000,0.000,20.000
1120548,29830.000,47600.000,1434.000,78360.000,694.000,396500.000,527200.000,0.000,8.000
1124593,29510.000,48010.000,1464.000,83330.000,632.000,393800.000,523900.000,0.000,26.000
1128638,29500.000,48010.000,1596.000,89230.000,658.000,394700.000,527100.000,0.000,24.000
1132684,29660.000,47130.000,1822.000,93170.000,618.000,395700.000,526300.000,0.000,24.000
1136729,28950.000,47310.000,1852.000,99280.000,722.000,392000.000,523400.000,0.000,32.000
1140774,28810.000,47330.000,1970.000,103800.000,736.000,396000.000,525900.000,0.000,12.000
1144819,29290.000,47770.000,2120.000,107700.000,704.000,392900.000,530600.000,0.000,18.000
